OrphaCode,DisorderName,DisorderType,ExpertLink,IsLeaf,OrphaCodePath,ClassificationPath,ClassificationTypes,ClassificationDepth
98006,Rare neurologic disease,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98006,0,98006,Rare neurologic disease,Category,1
98496,Rare peripheral neuropathy,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98496,0,98006 > 98496,Rare neurologic disease > Rare peripheral neuropathy,Category > Category,2
98497,Genetic peripheral neuropathy,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98497,0,98006 > 98496 > 98497,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy,Category > Category > Category,3
166,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166,0,98006 > 98496 > 98497 > 166,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,Category > Category > Category > Category,4
2926,Digital extensor muscle aplasia-polyneuropathy,Malformation syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2926,1,98006 > 98496 > 98497 > 166 > 2926,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Digital extensor muscle aplasia-polyneuropathy,Category > Category > Category > Category > Malformation syndrome,5
64747,X-linked Charcot-Marie-Tooth disease,Clinical group,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=64747,0,98006 > 98496 > 98497 > 166 > 64747,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease,Category > Category > Category > Category > Clinical group,5
99014,X-linked Charcot-Marie-Tooth disease type 5,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99014,1,98006 > 98496 > 98497 > 166 > 64747 > 99014,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 5,Category > Category > Category > Category > Clinical group > Disease,6
101075,X-linked Charcot-Marie-Tooth disease type 1,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101075,1,98006 > 98496 > 98497 > 166 > 64747 > 101075,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 1,Category > Category > Category > Category > Clinical group > Disease,6
101076,X-linked Charcot-Marie-Tooth disease type 2,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101076,1,98006 > 98496 > 98497 > 166 > 64747 > 101076,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 2,Category > Category > Category > Category > Clinical group > Disease,6
101077,X-linked Charcot-Marie-Tooth disease type 3,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101077,1,98006 > 98496 > 98497 > 166 > 64747 > 101077,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 3,Category > Category > Category > Category > Clinical group > Disease,6
