Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,PrevalenceListCount,PrevalenceGeographies,PrevalenceEntries
,,166024,17601,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,2,Worldwide; Worldwide,8322|23697|Cases/families|23718|Case(s)|||4.0|23844|Worldwide|25958|Validated|11389160[PMID]_9689990[PMID]_ [EXPERT]; 8323|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_11389160[PMID]_9689990[PMID]
,,166032,17603,Multiple epiphyseal dysplasia-miniepiphyses syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,2,Worldwide; Worldwide,11632|23697|Cases/families|23718|Case(s)|||2.0|23844|Worldwide|25958|Validated|15523498[PMID]; 11633|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_15523498[PMID]
,,58,2,Alexander disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,2,Japan; Worldwide,2|23676|Annual incidence|23711|Value and class|23760|<1 / 1 000 000|0.037|24621|Japan|25958|Validated|21533827[PMID]_[EXPERT]; 3|23669|Point prevalence|23704|Class only|23774|Unknown|0.0|23844|Worldwide|25965|Not yet validated|ORPHANET
,,166029,17602,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,2,Worldwide; Worldwide,11634|23697|Cases/families|23718|Case(s)|||3.0|23844|Worldwide|25958|Validated|15523498[PMID]; 11635|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_15523498[PMID]
,,61,3,Alpha-mannosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,7,Europe; Australia; Norway; Netherlands; Portugal; Czech Republic; Sweden,4|23669|Point prevalence|23711|Value and class|23739|1-9 / 1 000 000|0.1|23795|Europe|25958|Validated|European Medicines Agency 2005[OTHER]; 5|23683|Prevalence at birth|23711|Value and class|23760|<1 / 1 000 000|0.09|23949|Australia|25958|Validated|9918480[PMID]; 6|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.13|25006|Norway|25965|Not yet validated|7900112[PMID]; 7|23683|Prevalence at birth|23711|Value and class|23760|<1 / 1 000 000|0.09|24936|Netherlands|25958|Validated|10480370[PMID]; 8|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.12|25090|Portugal|25958|Validated|14685153[PMID]; 9|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.38|24257|Czech Republic|25958|Validated|20490927[PMID]; 12208|23683|Prevalence at birth|23711|Value and class|23760|<1 / 1 000 000|0.07|25335|Sweden|25958|Validated|25274184[PMID]
,,166038,17605,"Metaphyseal chondrodysplasia, Kaitila type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,2,Worldwide; Worldwide,8326|23697|Cases/families|23718|Case(s)|||2.0|23844|Worldwide|25958|Validated|6979929[PMID]; 8327|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_6979929[PMID]
,,93,5,Aspartylglucosaminuria,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,4,Australia; Worldwide; Sweden; Finland,10|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.2|23949|Australia|25958|Validated|9918480[PMID]; 11|23669|Point prevalence|23704|Class only|23774|Unknown|0.0|23844|Worldwide|25965|Not yet validated|ORPHANET; 12205|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.62|25335|Sweden|25958|Validated|25274184[PMID]; 13306|23683|Prevalence at birth|23711|Value and class|23746|1-9 / 100 000|3.35|24362|Finland|25958|Validated|27906067[PMID]
,,166035,17604,Brachydactyly-short stature-retinitis pigmentosa syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,2,Worldwide; Worldwide,8324|23697|Cases/families|23718|Case(s)|||12.0|23844|Worldwide|25958|Validated|7252997[PMID]_28285769[PMID]; 8325|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_7252997[PMID]_28285769[PMID]
,,585,6,Multiple sulfatase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,2,Worldwide; Worldwide,12|23697|Cases/families|23718|Case(s)|||154.0|23844|Worldwide|25958|Validated|36980153[PMID]_37732042[PMID]_ORPHANET; 13|23669|Point prevalence|23711|Value and class|23739|1-9 / 1 000 000|0.2|23844|Worldwide|25958|Validated|33144036[PMID]
,,118,7,Beta-mannosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,5,Europe; Czech Republic; Netherlands; Portugal; Worldwide,14|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.14|23795|Europe|25958|Validated|14685153[PMID]_10480370[PMID]_20490927[PMID]; 15|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.16|24257|Czech Republic|25958|Validated|20490927[PMID]; 16|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.13|24936|Netherlands|25958|Validated|10480370[PMID]; 17|23683|Prevalence at birth|23711|Value and class|23739|1-9 / 1 000 000|0.12|25090|Portugal|25958|Validated|14685153[PMID]; 18|23669|Point prevalence|23704|Class only|23774|Unknown|0.0|23844|Worldwide|25958|Validated|ORPHANET
