Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,TypeOfInheritanceListCount,TypeOfInheritanceIds,TypeOfInheritance,TypeOfInheritancePairs,AverageAgeOfOnsetListCount,AverageAgeOfOnsetIds,AverageAgeOfOnset,AverageAgeOfOnsetPairs
,,166024,17601,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,166032,17603,Multiple epiphyseal dysplasia-miniepiphyses syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,0,,,,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,58,2,Alexander disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23557,All ages,23557|All ages
,,166029,17602,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,0,,,,1,23529,Childhood,23529|Childhood
,,61,3,Alpha-mannosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166038,17605,"Metaphyseal chondrodysplasia, Kaitila type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,0,,,,1,23515,Neonatal,23515|Neonatal
,,93,5,Aspartylglucosaminuria,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23529,Childhood,23529|Childhood
,,166035,17604,Brachydactyly-short stature-retinitis pigmentosa syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,585,6,Multiple sulfatase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,1,23417,Autosomal recessive,23417|Autosomal recessive,5,23536; 23508; 23529; 23522; 23515,Adolescent; Antenatal; Childhood; Infancy; Neonatal,23536|Adolescent; 23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,118,7,Beta-mannosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,1,23417,Autosomal recessive,23417|Autosomal recessive,5,23536; 23543; 23529; 23522; 23515,Adolescent; Adult; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,141,8,Canavan disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166063,17608,Pontocerebellar hypoplasia type 4,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23508,Antenatal,23508|Antenatal
,,166078,17611,Von Willebrand disease type 1,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23557,All ages,23557|All ages
,,166073,17610,Pontocerebellar hypoplasia type 6,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,213,11,Cystinosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=213,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,166084,17613,Von Willebrand disease type 2A,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,0,,,
,,333,12,Farber disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23508; 23529; 23522; 23515,Antenatal; Childhood; Infancy; Neonatal,23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166081,17612,Von Willebrand disease type 2,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166081,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,349,13,Fucosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,166090,17615,Von Willebrand disease type 2M,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,365,14,Glycogen storage disease due to acid maltase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=365,1,23417,Autosomal recessive,23417|Autosomal recessive,6,23536; 23543; 23508; 23529; 23522; 23515,Adolescent; Adult; Antenatal; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166087,17614,Von Willebrand disease type 2B,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
